name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,regional_sales_total,decade,sales_tier,is_high_seller,na_sales_share,eu_sales_share,jp_sales_share,other_sales_share,dominant_region
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,13.740000000000002,2010s,blockbuster,1,0.6004366812227073,0.3129548762736535,0.005094614264919942,0.08151382823871907,North America
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,13.52,2000s,blockbuster,1,0.6301775147928994,0.26849112426035504,0.00591715976331361,0.09541420118343195,North America
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,13.469999999999999,2010s,blockbuster,1,0.41128433556050487,0.4320712694877506,0.03637713437268003,0.1202672605790646,Europe
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,13.100000000000001,2000s,blockbuster,1,0.533587786259542,0.3442748091603053,0.022900763358778622,0.09923664122137404,North America
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,13.04,2000s,blockbuster,1,0.517638036809816,0.20015337423312884,0.2039877300613497,0.07822085889570553,North America
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,12.730000000000002,2010s,blockbuster,1,0.4697564807541241,0.34878240377062053,0.03770620581304005,0.1437549096622152,North America
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,12.280000000000001,2000s,blockbuster,1,0.20765472312703578,0.2866449511400651,0.4340390879478827,0.07166123778501628,Japan
Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,12.21,2010s,blockbuster,1,0.3882063882063882,0.3202293202293202,0.21867321867321865,0.07289107289107288,North America
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,12.14,2000s,blockbuster,1,0.6565074135090609,0.2331136738056013,0.010708401976935749,0.09967051070840197,North America
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,11.989999999999998,2010s,blockbuster,1,0.316930775646372,0.4845704753961635,0.030025020850708926,0.16847372810675565,Europe
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,11.899999999999999,2000s,blockbuster,1,0.36974789915966394,0.2327731092436975,0.3327731092436975,0.06470588235294118,North America
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,11.9,1990s,blockbuster,1,0.5806722689075631,0.23949579831932774,0.16050420168067225,0.019327731092436976,North America
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,11.649999999999999,2000s,blockbuster,1,0.25836909871244634,0.0008583690987124465,0.09442060085836912,0.6463519313304722,Other
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,11.52,2000s,blockbuster,1,0.5347222222222222,0.2951388888888889,0.10416666666666667,0.06597222222222222,North America
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,11.33,2010s,blockbuster,1,0.37334510150044137,0.2974404236540159,0.27184466019417475,0.05736981465136805,North America
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,11.179999999999998,1990s,blockbuster,1,0.5509838998211093,0.1824686940966011,0.24060822898032205,0.025939177101967803,North America
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,11.03,2000s,blockbuster,1,0.6128739800543971,0.28105167724388036,0.012692656391659113,0.09338168631006347,North America
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,10.95,1990s,blockbuster,1,0.36712328767123287,0.3534246575342466,0.2319634703196347,0.047488584474885846,North America
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,10.79,2010s,blockbuster,1,0.4531974050046339,0.2771084337349398,0.1974050046339203,0.07228915662650603,North America
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,10.77,2010s,blockbuster,1,0.27483751160631387,0.4531104921077066,0.07520891364902507,0.19684308263695452,Europe
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,10.690000000000001,2000s,blockbuster,1,0.4667913938260056,0.3451824134705332,0.03554724041159962,0.15247895229186154,North America
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,10.579999999999998,2000s,blockbuster,1,0.449905482041588,0.35538752362948967,0.04158790170132326,0.1531190926275993,North America
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,10.55,1990s,blockbuster,1,0.5677725118483412,0.20379146919431276,0.2009478672985782,0.02748815165876777,North America
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,10.49,2000s,blockbuster,1,0.41372735938989513,0.2526215443279313,0.3002859866539561,0.03336510962821735,North America
Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,10.42,2000s,blockbuster,1,0.4875239923224568,0.29846449136276393,0.1199616122840691,0.09404990403071017,North America
Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,10.27,2010s,blockbuster,1,0.5890944498539435,0.3067185978578384,0.0,0.10418695228821812,North America
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,10.209999999999999,2010s,blockbuster,1,0.6581782566111656,0.257590597453477,0.0039177277179236044,0.08031341821743389,North America
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,9.87,2010s,blockbuster,1,0.71225937183384,0.20060790273556234,0.008105369807497468,0.07902735562310031,North America
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,9.870000000000001,1990s,blockbuster,1,0.5623100303951367,0.19655521783181354,0.22593718338399188,0.01519756838905775,North America
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,9.830000000000002,2010s,blockbuster,1,0.37232960325534076,0.3123092573753814,0.25127161749745675,0.06408952187182095,North America
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,9.76,2010s,blockbuster,1,0.6793032786885246,0.24180327868852458,0.004098360655737705,0.07479508196721311,North America
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.719999999999999,1990s,blockbuster,1,0.3096707818930041,0.2541152263374486,0.3374485596707819,0.09876543209876544,Japan
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,9.580000000000002,2010s,blockbuster,1,0.4269311064718162,0.38935281837160746,0.039665970772442584,0.14405010438413357,North America
Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,9.52,2010s,blockbuster,1,0.6134453781512605,0.3035714285714286,0.001050420168067227,0.0819327731092437,North America
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,9.49,1990s,blockbuster,1,0.4088514225500527,0.36037934668071653,0.1780821917808219,0.05268703898840885,North America
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,9.32,2000s,blockbuster,1,0.6341201716738197,0.2553648068669528,0.013948497854077254,0.09656652360515021,North America
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,9.3,1990s,blockbuster,1,0.46881720430107526,0.18387096774193545,0.3225806451612903,0.024731182795698924,North America
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,9.2,2010s,blockbuster,1,0.6065217391304348,0.30760869565217397,0.002173913043478261,0.08369565217391305,North America
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,9.100000000000001,2010s,blockbuster,1,0.22087912087912082,0.25494505494505487,0.4791208791208791,0.04505494505494505,Japan
Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,9.02,2000s,blockbuster,1,0.4944567627494457,0.20842572062084258,0.21951219512195122,0.07760532150776053,North America
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,8.84,2010s,blockbuster,1,0.5690045248868779,0.3235294117647059,0.011312217194570137,0.09615384615384616,North America
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,8.77,1990s,blockbuster,1,0.4036488027366021,0.14139110604332955,0.4344355758266819,0.020524515393386546,Japan
FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,8.49,2010s,blockbuster,1,0.13074204946996468,0.7137809187279152,0.007067137809187279,0.14840989399293286,Europe
Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,8.49,2010s,blockbuster,1,0.21083627797408716,0.4157832744405182,0.2932862190812721,0.0800942285041225,Europe
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,8.48,2000s,blockbuster,1,0.8042452830188679,0.1804245283018868,0.00589622641509434,0.009433962264150943,North America
Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,8.42,2000s,blockbuster,1,0.4524940617577197,0.2731591448931116,0.18764845605700714,0.08669833729216152,North America
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,8.34,2010s,blockbuster,1,0.3489208633093525,0.22302158273381298,0.37649880095923266,0.05155875299760192,Japan
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,8.25,2010s,blockbuster,1,0.12848484848484848,0.6121212121212121,0.01575757575757576,0.24363636363636362,Europe
The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,8.11,2000s,blockbuster,1,0.12083847102342787,0.7916152897657214,0.0,0.08754623921085081,Europe
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,8.09,1990s,blockbuster,1,0.7169344870210136,0.24845488257107537,0.016069221260815822,0.018541409147095178,North America
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,8.05,2000s,blockbuster,1,0.3204968944099379,0.48447204968944096,0.08198757763975155,0.11304347826086956,Europe
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,8.040000000000001,2000s,blockbuster,1,0.3619402985074627,0.25746268656716415,0.33955223880597013,0.041044776119402986,North America
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,7.86,1990s,blockbuster,1,0.2900763358778626,0.2188295165394402,0.4618320610687023,0.029262086513994912,Japan
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,7.839999999999999,2000s,blockbuster,1,0.35969387755102045,0.22704081632653064,0.3431122448979592,0.0701530612244898,North America
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,7.8100000000000005,1980s,blockbuster,1,0.9321382842509602,0.057618437900128036,0.0,0.010243277848911651,North America
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,7.720000000000001,2000s,blockbuster,1,0.37564766839378233,0.366580310880829,0.0310880829015544,0.22668393782383417,North America
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,7.7,2010s,blockbuster,1,0.4753246753246753,0.3142857142857143,0.12727272727272726,0.08311688311688312,North America
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,7.67,2010s,blockbuster,1,0.3820078226857888,0.4289439374185137,0.02868318122555411,0.16036505867014342,Europe
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,7.609999999999999,2010s,blockbuster,1,0.3679369250985545,0.43363994743758216,0.01839684625492773,0.18002628120893563,Europe
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,7.6,1990s,blockbuster,1,0.5394736842105263,0.24868421052631579,0.19078947368421054,0.02105263157894737,North America
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,7.569999999999999,1990s,blockbuster,1,0.4993394980184941,0.28665785997357995,0.1730515191545575,0.04095112285336856,North America
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,7.46,1980s,blockbuster,1,0.7225201072386058,0.1581769436997319,0.0938337801608579,0.02546916890080429,North America
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,7.4399999999999995,2010s,blockbuster,1,0.435483870967742,0.18145161290322584,0.32526881720430106,0.05779569892473119,North America
Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,7.379999999999999,2000s,blockbuster,1,0.6490514905149053,0.25745257452574527,0.0,0.0934959349593496,North America
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,7.34,2010s,blockbuster,1,0.6076294277929155,0.2901907356948229,0.008174386920980926,0.09400544959128065,North America
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,7.319999999999999,2000s,blockbuster,1,0.5232240437158471,0.29918032786885246,0.0819672131147541,0.09562841530054644,North America
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,7.289999999999999,2010s,blockbuster,1,0.6200274348422496,0.28669410150891633,0.0013717421124828533,0.09190672153635118,North America
Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,7.27,2000s,blockbuster,1,0.4828060522696011,0.4167812929848693,0.0,0.10041265474552957,North America
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,7.23,2010s,blockbuster,1,0.3941908713692946,0.40525587828492393,0.04840940525587828,0.1521438450899032,Europe
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,7.199999999999999,2000s,blockbuster,1,0.4541666666666667,0.3930555555555556,0.011111111111111113,0.1416666666666667,North America
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,7.180000000000001,1990s,blockbuster,1,0.45543175487465176,0.30919220055710306,0.1949860724233983,0.04038997214484679,North America
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,7.13,1990s,blockbuster,1,0.5161290322580645,0.24544179523141654,0.19915848527349228,0.039270687237026654,North America
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,7.06,2000s,blockbuster,1,0.6246458923512749,0.1473087818696884,0.19688385269121814,0.0311614730878187,North America
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,6.959999999999999,2010s,blockbuster,1,0.44971264367816094,0.2974137931034483,0.1824712643678161,0.07040229885057472,North America
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,6.960000000000001,2010s,blockbuster,1,0.35488505747126436,0.45258620689655166,0.03448275862068965,0.15804597701149425,Europe
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,6.950000000000001,2000s,blockbuster,1,0.5928057553956834,0.2546762589928057,0.1251798561151079,0.027338129496402873,North America
Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,6.91,2010s,blockbuster,1,0.5991316931982633,0.31982633863965265,0.0,0.08104196816208394,North America
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,6.9,2010s,blockbuster,1,0.11304347826086956,0.6260869565217392,0.010144927536231885,0.2507246376811594,Europe
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,6.9,2000s,blockbuster,1,0.3927536231884058,0.43768115942028984,0.011594202898550725,0.15797101449275364,Europe
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,6.84,2000s,blockbuster,1,0.4283625730994152,0.402046783625731,0.024853801169590645,0.14473684210526316,North America
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,6.82,2010s,blockbuster,1,0.40615835777126097,0.4105571847507331,0.02785923753665689,0.15542521994134897,Europe
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,6.819999999999999,1990s,blockbuster,1,0.4736070381231672,0.34457478005865105,0.13782991202346043,0.04398826979472141,North America
Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,6.8100000000000005,2010s,blockbuster,1,0.5139500734214391,0.3876651982378855,0.0,0.09838472834067548,North America
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,6.77,2000s,blockbuster,1,0.6129985228951257,0.28360413589364847,0.008862629246676515,0.09453471196454949,North America
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,6.7299999999999995,2000s,blockbuster,1,0.4858841010401189,0.3343239227340268,0.031203566121842496,0.1485884101040119,North America
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,6.720000000000001,2000s,blockbuster,1,0.4613095238095238,0.3422619047619047,0.041666666666666664,0.15476190476190474,North America
FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,6.69,2010s,blockbuster,1,0.12556053811659193,0.6457399103139013,0.016442451420029893,0.2122571001494768,Europe
Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,6.669999999999999,2000s,blockbuster,1,0.2503748125937032,0.41679160419790107,0.23988005997001505,0.09295352323838083,Europe
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,6.6000000000000005,2010s,blockbuster,1,0.4227272727272727,0.3954545454545454,0.025757575757575757,0.15606060606060604,North America
FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,6.6,2010s,blockbuster,1,0.1196969696969697,0.65,0.007575757575757577,0.22272727272727275,Europe
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,6.59,2010s,blockbuster,1,0.4931714719271624,0.27921092564491656,0.15629742033383917,0.07132018209408195,North America
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,6.56,2010s,blockbuster,1,0.38871951219512196,0.413109756097561,0.038109756097560975,0.1600609756097561,Europe
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,6.499999999999999,1980s,blockbuster,1,0.5753846153846155,0.1430769230769231,0.26,0.021538461538461545,North America
